SampleID	Phenotype	CYTscore	ImmuneScore	StromalScore	EstimateScore	Purity	qaunTIseq_CD8T	quanTIseq_Treg	quanTIseq_other
SAMe1eb5d988760	inflamed	210	97	222	152	48	134	211	25
SAMe3210d3632b4	inflamed	192	108	232	164	38	67	173	79
SAMe41b1e773582	excluded	139	198	68	192	158	73	126	164
SAMe50d15fde368	desert	11	18	41	36	239	1	59	193
SAMe56c96c51190	excluded	216	149	233	193	12	17	224	1
SAMe5bc41772bc9	excluded	40	223	35	233	132	1	52	146
SAMe7bf6c015192	inflamed	144	130	147	138	60	75	219	1
SAMe7e4f7c076a7	inflamed	228	126	220	169	34	86	214	35
SAMe94c30c30616	excluded	177	40	169	83	110	30	131	65
SAMe97af0feefdf	excluded	101	213	67	215	147	1	108	72
SAMe9ae8beb82fa	desert	112	64	221	131	67	1	101	84
SAMeaa477a5384b	inflamed	231	101	102	244	122	76	233	18
SAMeb29625f76a5	excluded	99	185	97	47	175	1	26	168
SAMef0e3d2415fd	inflamed	243	168	153	217	1	138	239	1
SAMf20b827dca51	inflamed	241	158	245	200	8	97	218	1
SAMf2aae1443f67	desert	57	58	15	2	213	1	19	200
SAMf82bbdc267c8	desert	41	29	13	30	236	1	69	185
SAMfb7aec7cb0e2	inflamed	240	98	49	107	88	8	205	50
SAMfed609955db9	desert	58	179	157	234	131	1	130	94
