신장,체중
165,55
150,45
165,70
160,65
145,55
170,55
160,55
175,55
160,55
175,80
170,80
180,85
150,40
160,90
150,50
165,70
160,55
160,50
170,55
160,60
160,50
170,75
160,60
140,40
145,55
150,75
160,75
170,70
170,55
175,100
150,50
165,50
170,75
150,55
180,130
145,50
175,65
165,65
150,50
160,60
155,45
170,75
175,80
150,50
150,50
180,65
170,50
160,50
165,55
145,50
175,80
175,60
165,50
155,55
140,55
165,65
155,50
170,50
175,70
175,75
145,55
165,70
160,50
155,60
160,55
155,65
180,80
155,65
165,70
155,70
155,50
155,55
160,45
160,75
150,55
155,65
155,55
165,55
150,50
155,50
170,75
180,75
175,65
155,50
170,65
170,65
155,50
170,70
170,65
165,60
160,75
160,55
155,65
160,105
160,50
155,50
140,55
140,45
155,40
150,55
170,75
150,45
170,75
150,45
165,65
160,45
160,65
180,70
170,75
160,50
170,85
175,70
175,100
160,60
175,55
175,80
170,80
165,60
170,65
175,75
150,70
165,55
175,65
175,80
150,50
160,60
155,70
155,65
155,55
155,50
175,85
165,75
155,50
155,55
160,50
150,65
170,65
165,70
155,55
150,50
155,65
150,60
150,45
170,80
150,55
170,70
170,65
165,70
160,55
165,60
155,55
165,55
155,50
150,45
160,50
180,75
155,65
155,55
155,60
170,70
160,55
155,50
150,45
170,70
165,75
180,75
175,55
170,65
165,80
160,45
165,65
155,60
165,70
150,45
160,50
155,55
165,55
165,55
175,80
155,45
175,90
165,75
155,45
165,70
160,65
180,80
150,60
145,40
170,75
150,55
170,85
170,75
160,55
165,55
175,80
155,65
165,65
150,50
175,80
155,50
175,75
165,60
170,65
155,55
175,65
165,60
165,60
180,75
160,60
165,50
140,50
160,70
155,45
160,60
155,65
160,50
160,55
170,75
165,50
155,50
160,55
165,55
155,55
155,50
150,50
165,70
150,55
155,60
140,35
170,60
165,70
180,80
150,60
155,60
155,60
170,50
175,70
130,40
180,90
180,80
180,105
150,60
155,60
150,50
165,60
170,70
170,65
170,55
180,70
170,55
170,90
175,60
150,55
150,50
160,50
180,85
185,90
155,45
170,65
175,75
165,65
165,65
155,60
175,85
185,85
145,45
175,90
165,65
165,70
165,80
175,80
165,75
155,90
175,75
145,50
170,75
175,75
165,55
150,75
170,70
160,50
160,60
175,60
175,75
160,60
155,65
155,50
145,50
145,50
170,60
165,70
170,70
165,65
150,45
170,65
150,45
190,110
140,45
175,85
150,50
170,70
155,50
160,60
160,65
155,45
160,60
165,65
160,75
150,50
160,55
170,75
150,50
160,60
160,55
150,50
170,100
170,75
160,55
170,65
170,90
150,55
155,60
150,45
170,75
150,45
155,55
170,75
160,65
145,55
165,95
150,65
140,45
165,50
175,75
150,50
140,55
170,75
170,70
160,65
155,60
165,70
